hour,weekday,service_avg_minutes,queue_length,counters_active,priority,wait_minutes
15,2,20,10,4,1,68
15,3,30,9,3,3,70
8,1,25,9,2,4,35
15,3,10,10,4,1,28
13,6,20,3,4,1,14
13,4,35,10,2,3,149
13,4,20,7,4,1,45
14,3,15,17,3,1,94
11,4,35,10,4,1,83
11,5,18,6,3,1,72
13,4,15,8,2,1,73
10,5,30,6,3,1,78
15,3,35,12,2,1,172
13,2,25,9,4,4,18
13,4,10,7,4,1,10
14,2,15,15,2,1,106
13,3,10,6,3,1,21
10,4,30,14,2,1,180
15,1,30,10,4,1,98
13,3,18,6,4,4,8
13,3,30,7,3,4,24
10,3,20,14,5,3,38
12,4,20,7,4,1,40
14,0,18,12,3,1,101
12,5,20,4,5,1,13
15,5,25,7,5,1,47
15,1,12,15,2,1,91
17,2,10,8,4,1,23
13,4,10,6,4,1,15
17,1,25,6,3,1,44
13,1,12,9,4,1,18
15,2,35,11,3,1,120
8,2,18,8,2,1,71
9,3,18,12,3,1,84
12,4,30,10,3,2,115
13,5,10,4,3,1,10
14,3,10,9,2,1,32
11,4,30,11,2,1,140
17,2,35,9,4,2,62
8,6,15,7,3,3,46
10,2,10,14,4,3,42
12,4,10,8,3,4,6
16,0,15,7,4,1,36
14,3,30,15,3,2,126
17,1,15,10,2,1,81
8,4,10,7,5,1,20
11,1,30,16,4,1,120
13,1,15,8,4,2,37
11,4,35,11,3,1,134
12,1,30,6,4,4,9
16,3,10,9,4,1,35
10,2,25,7,4,1,76
12,2,18,7,4,2,25
12,3,10,5,2,2,14
12,2,20,7,4,1,43
17,1,18,6,3,1,49
16,1,10,9,3,1,30
12,2,18,6,4,4,5
13,5,12,3,3,1,14
10,3,10,12,4,1,22
12,1,30,7,4,1,51
12,1,30,9,4,1,50
9,3,12,11,3,2,17
15,5,35,6,3,3,57
12,3,12,5,4,2,14
17,1,12,11,5,1,21
10,4,18,13,4,1,65
13,1,15,11,4,1,26
15,2,30,11,4,1,89
12,4,15,7,3,1,38
12,4,12,6,4,2,11
10,2,35,16,4,1,149
10,5,30,7,3,1,102
13,2,10,8,3,1,32
15,3,10,12,4,1,31
15,0,10,14,3,1,51
12,2,18,7,4,1,40
15,1,20,9,5,3,43
12,1,12,7,2,3,43
15,3,20,17,3,1,130
11,3,25,14,2,1,180
10,3,18,8,2,1,32
8,1,10,11,2,1,49
12,5,30,4,3,1,30
12,2,18,8,4,4,9
11,1,30,12,4,1,112
9,2,15,13,4,2,34
10,0,15,10,3,1,46
14,4,30,19,3,1,180
11,1,10,10,4,1,40
11,1,20,14,3,1,130
11,0,12,8,4,1,28
11,5,18,9,3,1,98
14,4,18,10,3,4,36
13,2,10,6,3,1,4
17,5,12,5,2,1,27
12,1,15,10,4,1,30
15,5,20,8,3,1,67
12,3,12,10,5,1,32
15,1,15,15,3,1,70
15,2,12,11,2,2,53
10,4,25,13,3,1,157
11,1,18,12,4,2,23
10,2,25,17,4,1,98
12,3,12,6,4,1,22
15,3,18,11,4,1,57
14,2,20,5,3,1,51
9,4,10,8,2,1,27
11,4,25,16,4,1,138
13,6,10,5,4,1,9
8,2,15,10,3,1,43
15,5,15,7,4,2,26
11,3,35,11,2,1,180
8,2,15,6,2,1,38
12,2,15,7,3,4,16
11,4,18,12,3,1,92
11,4,20,8,3,1,76
12,2,15,6,3,1,36
12,4,30,6,5,3,33
9,2,20,11,4,1,55
11,4,30,13,2,1,157
17,3,30,8,3,2,53
12,3,10,6,2,1,34
10,6,12,9,5,1,28
14,5,30,9,3,2,68
8,2,10,9,4,2,15
9,2,15,9,3,3,28
11,4,30,15,5,1,150
12,1,12,5,2,1,26
17,3,35,10,4,3,84
15,2,25,13,2,1,163
12,4,10,9,2,3,43
12,2,35,6,2,2,58
17,1,10,8,4,4,6
10,4,25,18,3,1,180
14,1,12,14,3,1,50
11,5,20,11,4,2,54
12,2,25,6,4,1,38
8,4,18,5,4,4,3
14,4,35,14,2,3,180
10,2,30,14,4,1,58
11,2,15,13,3,1,87
11,5,18,7,3,4,15
10,6,30,7,3,1,64
11,4,30,11,3,1,80
8,6,10,6,3,3,19
16,1,25,10,4,1,58
13,2,20,9,4,4,13
9,0,35,13,3,1,92
14,1,30,10,3,1,144
9,3,10,19,2,1,99
12,2,35,9,4,1,96
14,2,25,12,3,1,119
16,1,20,9,2,1,71
10,4,18,13,3,1,107
11,5,25,9,4,1,78
15,5,15,7,2,1,67
12,1,25,5,2,1,79
15,1,30,11,3,1,143
12,2,20,8,3,1,86
15,3,25,10,4,1,78
10,3,30,9,3,1,100
13,2,30,5,4,1,41
15,3,20,13,4,3,58
10,1,25,12,4,1,60
11,2,25,11,3,1,87
12,0,10,8,4,1,24
15,3,35,16,4,1,173
13,1,10,7,3,1,18
12,5,25,3,2,1,29
11,4,18,14,4,1,40
13,4,25,7,2,1,103
11,2,15,7,4,1,26
13,2,30,12,3,1,122
9,6,12,7,2,1,46
11,4,25,10,4,1,107
13,3,15,10,4,1,43
16,5,15,7,3,1,20
12,4,35,8,3,1,121
11,1,20,13,4,1,109
13,4,25,9,2,1,125
13,3,20,6,2,1,56
9,3,18,16,4,1,71
15,1,12,13,3,1,59
12,2,15,5,2,1,36
11,4,30,10,4,1,102
10,4,30,10,3,1,107
13,3,20,6,3,1,43
9,3,15,15,3,2,33
12,4,35,8,4,1,59
11,3,20,13,3,1,150
10,3,12,13,2,1,60
14,2,20,12,4,1,78
13,4,15,6,3,1,33
12,5,25,3,3,1,27
12,3,35,6,3,1,66
13,6,15,4,2,1,31
13,5,35,4,2,1,25
12,4,10,6,3,1,21
11,1,10,15,2,1,65
15,3,30,12,4,1,113
16,5,35,5,4,2,26
13,6,12,3,2,1,13
15,5,20,6,3,1,24
17,2,10,11,5,2,11
12,5,20,5,2,1,76
11,2,20,14,2,1,154
14,4,12,13,4,1,56
13,3,15,5,5,1,15
14,0,20,14,5,1,53
11,1,35,12,4,2,30
11,4,12,11,3,2,33
15,2,10,12,3,1,45
17,3,25,8,4,3,28
13,1,20,7,4,2,13
11,1,30,11,2,2,180
8,2,12,9,4,4,8
16,5,15,7,4,1,24
15,3,18,16,3,1,139
11,4,10,15,5,1,28
13,1,10,7,2,1,50
15,1,18,9,2,1,69
8,4,35,10,2,1,74
8,3,25,5,4,1,43
8,3,10,10,5,1,16
12,4,10,7,4,3,14
9,3,15,10,3,1,34
12,1,10,8,2,1,20
11,2,12,10,4,1,25
12,1,35,9,2,2,85
11,4,25,15,3,1,80
11,3,30,14,4,4,16
11,1,25,14,3,1,170
12,2,35,7,3,1,125
14,1,12,9,4,1,39
11,3,35,7,2,1,145
12,3,15,6,4,4,10
12,1,30,5,4,1,59
16,2,25,8,4,3,47
13,5,20,3,3,1,26
13,3,25,6,4,1,44
11,1,15,13,2,2,129
11,2,30,11,3,1,70
10,1,12,15,3,1,104
13,4,35,6,4,1,79
14,4,35,11,3,1,180
15,1,12,11,2,1,89
10,3,30,14,4,1,180
13,3,12,6,3,1,21
14,4,10,14,5,1,32
9,2,25,14,3,1,180
9,4,15,14,3,1,53
14,1,12,13,3,3,26
10,1,15,13,4,2,31
14,2,10,12,3,1,50
12,4,35,6,5,1,47
15,2,12,12,3,1,52
11,4,30,17,2,1,180
14,3,35,10,3,1,134
12,3,35,7,3,1,67
9,3,30,11,2,1,144
16,4,25,7,2,1,90
12,1,25,9,3,1,100
12,3,12,6,3,1,33
9,6,35,6,4,1,30
16,1,12,10,4,1,53
11,2,25,15,4,1,155
12,3,20,6,4,1,10
10,1,10,17,3,1,39
14,0,12,16,3,1,84
12,2,12,5,3,1,23
10,3,20,12,4,1,74
15,3,25,13,3,1,57
13,1,12,5,2,1,46
10,2,15,12,2,3,146
13,4,25,10,3,3,37
11,1,25,14,5,1,79
14,4,10,14,3,1,62
14,1,12,16,3,1,53
10,2,35,19,3,2,180
15,1,18,18,2,1,152
15,2,18,16,4,1,111
13,2,18,7,3,3,44
11,1,10,10,3,4,17
11,2,18,14,4,1,38
14,1,20,17,2,1,94
12,1,30,5,5,2,16
9,1,25,14,2,4,60
10,1,35,11,3,3,115
17,3,30,11,4,1,119
8,2,10,9,3,1,32
11,2,25,12,3,1,72
11,1,10,11,4,1,38
10,5,10,7,3,1,24
11,3,20,13,3,1,64
8,2,15,8,2,1,27
16,1,15,10,4,1,50
9,2,10,12,2,1,68
11,3,18,13,4,1,46
9,3,30,9,2,3,145
8,3,18,8,5,1,31
15,3,12,15,4,1,67
11,3,10,18,3,2,68
16,3,12,9,3,1,30
12,4,18,7,4,1,25
14,3,12,16,3,1,55
8,6,10,5,4,1,15
17,3,20,7,4,1,42
11,4,15,14,3,1,91
13,1,30,6,3,1,93
15,4,12,13,3,1,83
10,2,10,19,4,1,79
9,2,20,15,3,1,149
12,1,18,8,3,1,53
9,1,15,12,2,1,87
15,2,10,11,2,1,45
9,4,30,18,3,3,180
10,2,18,11,4,1,98
13,5,20,3,3,2,18
13,5,18,3,3,1,16
16,4,35,9,3,1,102
12,1,18,7,3,2,27
12,3,12,5,2,1,30
9,3,18,18,5,1,66
14,4,20,14,3,3,71
14,2,18,12,3,1,58
9,3,18,13,4,1,56
17,2,25,13,5,1,57
9,5,10,7,5,1,12
15,2,25,11,3,3,32
11,6,18,7,4,1,36
13,2,10,5,4,1,8
14,5,25,11,3,1,87
17,1,18,7,3,1,22
11,2,30,12,4,3,87
8,2,25,12,2,4,52
15,3,10,15,3,1,48
14,3,25,11,4,1,119
12,6,35,4,3,3,55
11,1,35,17,4,1,180
14,1,30,10,2,1,176
12,3,20,8,4,1,44
13,1,20,7,4,1,33
10,1,10,11,3,1,59
10,2,12,13,3,1,91
15,4,20,10,3,1,67
13,4,10,7,3,2,19
13,5,30,3,3,1,19
12,2,12,9,2,1,22
10,3,12,12,4,2,29
14,1,35,13,3,1,122
13,4,18,6,2,3,44
12,3,12,5,4,3,13
9,1,15,9,5,1,35
15,4,10,14,4,2,28
13,1,12,9,3,2,33
14,3,12,12,5,1,11
13,4,15,7,2,1,47
8,3,12,9,4,2,16
15,5,18,7,4,1,17
11,3,15,10,2,1,92
15,2,35,12,4,1,86
11,1,25,14,4,2,87
11,3,12,11,3,1,59
16,1,12,9,4,1,30
13,4,10,7,5,1,10
11,2,18,13,5,1,58
11,1,10,9,4,1,30
10,3,25,12,4,1,52
8,3,12,15,4,1,55
14,5,18,9,2,1,103
14,2,15,11,4,1,60
13,1,12,5,5,1,9
13,6,35,4,5,4,6
10,2,12,10,5,1,18
17,4,20,7,2,1,63
16,3,18,10,4,1,52
17,3,20,13,2,1,45
8,5,15,4,3,1,18
14,1,12,6,3,1,37
12,0,15,7,4,1,29
10,1,30,15,5,1,148
12,3,12,10,2,1,65
11,6,20,7,4,1,39
10,2,18,14,5,1,37
14,4,20,15,3,1,146
12,1,15,5,4,4,3
8,4,25,8,4,1,31
13,2,12,8,5,1,18
15,5,35,8,2,1,180
13,3,10,5,5,1,12
13,4,18,5,3,1,31
12,1,35,8,2,1,145
13,1,35,7,4,1,59
15,4,12,13,4,3,36
9,4,25,14,4,1,77
9,2,12,16,3,1,87
15,2,25,12,3,3,79
11,1,30,11,3,4,23
10,3,18,11,3,1,62
14,1,15,13,3,1,76
16,3,15,11,2,1,88
17,4,35,8,3,1,100
9,0,10,13,4,1,48
12,3,30,9,2,1,107
15,1,15,12,2,1,101
13,1,15,8,2,1,75
10,1,10,11,4,1,16
14,5,10,6,3,3,15
16,2,15,7,3,1,37
12,2,20,7,3,1,52
14,1,10,14,2,1,72
15,3,20,17,3,1,150
13,4,18,7,4,1,10
17,4,30,8,4,1,99
13,2,10,7,4,1,23
14,4,18,14,4,3,48
14,2,25,16,4,1,111
11,5,35,7,2,4,32
9,0,20,13,3,1,24
13,4,30,6,3,4,26
8,3,20,9,3,3,58
13,1,25,6,3,1,22
10,3,30,17,2,1,180
12,3,15,7,3,1,50
13,6,25,4,3,3,22
13,5,12,4,4,1,12
16,0,12,9,3,3,11
14,3,10,13,3,2,53
13,3,30,5,2,1,76
11,0,10,11,3,2,36
10,3,30,11,4,1,90
12,1,25,13,2,1,174
12,3,30,5,2,1,52
17,2,15,10,5,1,27
10,4,35,8,2,2,115
14,5,12,9,3,1,35
9,6,35,7,2,1,142
13,5,30,4,4,4,8
9,3,35,11,4,2,31
11,1,15,12,4,1,32
13,0,12,5,4,1,6
14,5,18,9,2,2,30
11,5,30,8,3,1,83
9,3,12,11,4,1,33
14,1,35,15,4,1,47
13,2,18,7,3,2,29
15,2,20,14,3,1,134
11,1,12,15,3,2,30
13,3,20,7,3,1,56
8,2,25,7,4,1,57
13,4,18,8,3,2,39
11,2,18,17,3,1,158
9,4,12,12,3,3,29
11,1,25,10,2,1,146
17,4,35,8,3,1,125
9,0,10,13,4,3,23
9,5,30,7,3,1,86
12,2,25,12,3,1,45
17,2,18,7,2,1,57
12,2,10,8,3,2,18
10,1,18,17,5,1,105
12,5,12,4,4,1,10
12,3,35,5,3,3,28
16,4,15,6,4,1,24
9,5,18,7,2,1,76
11,5,35,7,3,3,55
12,3,20,10,2,1,88
12,1,18,6,4,1,30
12,2,10,7,3,1,25
11,5,35,7,3,1,126
11,1,25,16,3,2,159
10,1,35,10,4,1,166
14,6,25,9,4,1,76
12,3,25,9,2,1,96
12,3,15,6,5,1,22
10,1,10,14,3,1,43
11,4,30,11,4,1,79
15,6,10,7,3,1,31
11,2,12,14,3,1,63
15,3,18,17,4,1,48
10,2,10,13,3,2,36
12,3,18,6,4,1,22
9,5,18,6,4,1,24
10,6,18,4,3,3,34
16,2,15,9,4,1,27
16,1,30,9,3,1,87
12,4,25,6,4,3,31
13,4,10,5,5,1,7
16,4,12,10,5,3,24
11,4,10,14,4,1,30
12,5,25,4,3,4,7
14,1,35,16,3,1,180
12,1,18,9,3,1,46
16,1,35,9,2,1,101
13,3,12,10,3,3,32
17,5,35,4,3,1,18
12,3,35,10,3,1,135
8,4,18,12,3,1,36
10,4,25,6,2,1,80
11,3,25,12,2,2,174
9,1,25,14,3,1,180
17,1,10,8,3,1,34
8,6,30,4,5,1,19
13,2,10,7,3,2,19
10,3,35,12,4,1,94
16,2,30,10,4,3,54
12,3,20,6,5,3,18
10,5,10,10,4,1,30
12,3,10,5,3,1,12
17,3,18,9,3,1,25
9,1,25,13,4,4,26
10,3,25,13,4,1,70
12,3,30,6,3,1,88
13,2,10,6,3,1,19
10,2,25,10,4,1,79
11,4,10,14,3,1,67
11,2,35,14,3,1,180
8,5,20,4,3,1,20
17,3,25,8,3,3,81
9,1,15,14,3,1,75
15,2,20,12,4,1,43
12,3,25,6,2,1,102
14,4,15,12,2,2,75
11,4,15,18,4,1,78
12,1,25,6,2,1,66
14,5,20,4,2,1,36
14,3,18,12,2,4,59
11,4,30,13,3,1,145
10,2,15,19,4,1,106
17,4,25,6,4,1,37
11,2,18,12,2,1,113
15,4,18,15,4,1,60
14,3,18,14,4,1,94
9,4,35,15,4,1,160
11,0,20,10,3,1,110
12,1,15,8,5,1,26
10,1,25,10,4,1,80
13,5,18,4,4,1,13
12,3,30,6,3,1,79
10,4,30,13,2,1,180
13,2,12,6,4,1,24
14,1,18,12,2,3,37
16,0,30,10,2,3,114
10,1,15,10,2,2,54
8,1,20,6,3,1,47
12,2,20,9,3,2,56
16,2,25,7,3,1,55
15,1,30,15,4,1,149
14,2,10,11,2,1,44
13,2,30,7,3,1,118
13,2,12,6,2,1,56
12,5,10,3,4,1,3
12,1,12,8,4,2,12
12,2,18,7,3,2,31
11,3,18,9,3,1,57
9,1,25,15,4,2,32
11,1,12,14,4,2,45
16,2,25,8,4,1,64
10,0,15,10,3,1,68
12,5,30,4,5,1,29
14,1,10,16,3,1,81
11,1,10,14,3,1,90
10,4,25,17,3,2,90
11,3,30,11,5,4,20
9,4,20,9,5,1,55
15,2,10,14,3,1,76
12,2,20,8,4,1,21
11,3,30,12,2,3,163
13,6,20,4,2,1,53
13,4,15,7,4,1,26
14,4,12,14,3,1,38
9,4,18,6,2,3,38
14,3,18,13,4,1,80
11,6,25,6,4,1,52
11,2,15,12,4,1,40
10,4,10,12,2,1,62
16,3,25,9,3,1,61
13,2,25,6,2,1,71
13,2,18,5,2,1,53
10,1,30,11,3,2,85
9,5,10,7,4,1,19
9,3,25,12,3,1,113
16,4,10,7,4,1,10
15,2,12,11,4,1,20
13,4,30,6,2,1,128
12,4,10,7,2,1,44
15,2,20,10,2,2,33
15,3,25,12,3,1,72
12,3,20,6,4,1,13
11,5,30,7,4,1,94
13,4,15,9,3,2,29
15,3,20,14,4,1,57
11,3,25,9,3,1,62
14,2,25,13,2,1,91
12,1,18,8,5,1,43
13,1,30,6,5,2,30
13,2,18,10,3,1,77
8,1,25,10,2,1,139
14,1,12,9,3,1,62
17,2,25,7,2,3,61
13,2,18,6,4,1,26
10,4,18,14,4,1,73
17,5,30,6,3,1,65
10,2,15,13,3,3,65
14,1,12,12,5,4,11
13,1,35,6,3,1,86
11,1,25,16,3,1,168
8,2,15,9,3,2,12
10,5,30,9,5,1,73
13,2,10,7,3,2,14
15,4,15,15,4,1,62
13,1,25,6,3,2,32
12,3,15,10,3,3,44
14,3,20,15,3,1,112
16,6,18,5,2,1,58
17,1,18,7,4,1,27
13,4,25,6,3,1,60
15,4,20,15,4,1,66
10,3,12,13,3,1,37
13,4,18,6,4,3,21
10,1,30,10,4,1,59
13,2,18,7,3,1,65
11,0,35,17,3,1,177
14,4,12,17,4,2,25
11,2,35,12,2,1,180
13,2,35,6,3,1,43
11,1,30,11,4,1,112
15,1,20,12,3,3,78
11,1,35,15,2,2,172
12,2,12,6,2,1,27
12,6,18,5,2,1,56
12,4,25,8,3,1,53
17,1,12,8,3,1,29
11,2,15,13,3,3,71
8,4,18,8,5,1,25
8,4,30,7,2,1,108
15,5,35,6,5,1,71
13,0,25,6,2,1,46
13,2,35,5,3,2,34
13,4,30,7,3,2,48
8,1,12,7,5,1,18
16,4,15,15,2,1,156
12,3,18,6,4,2,19
10,3,12,11,4,1,31
15,2,15,17,2,1,136
11,2,10,12,3,1,70
13,1,35,5,3,1,68
9,2,18,14,4,1,34
10,2,18,15,4,1,93
11,3,15,10,3,1,61
11,5,10,7,4,1,19
15,3,25,13,3,1,151
17,3,20,7,3,1,19
17,5,25,4,5,3,13
12,3,18,6,2,1,75
15,4,18,15,4,1,61
17,1,30,8,4,1,41
15,2,15,13,2,2,83
16,3,10,13,3,1,31
15,2,20,18,4,1,136
12,2,25,7,3,1,59
10,3,15,18,3,1,130
8,1,12,7,4,1,18
8,2,30,9,4,1,82
16,2,10,9,4,2,24
13,5,30,3,3,1,33
16,4,18,6,3,1,14
11,5,30,9,2,1,109
13,4,20,9,2,1,123
8,3,18,9,2,2,54
12,4,25,7,3,1,39
10,2,25,13,2,1,180
9,4,12,19,3,1,79
15,3,18,11,3,2,58
9,4,18,15,3,2,24
13,4,10,7,3,1,37
12,4,18,6,5,2,13
15,4,20,12,2,3,102
15,2,12,14,4,1,66
10,4,10,10,3,1,36
12,5,20,4,2,1,19
12,3,30,5,4,1,17
10,2,25,12,3,1,139
13,2,12,9,3,3,22
15,2,35,14,4,1,157
9,1,25,12,4,1,82
11,2,15,16,3,1,87
13,5,25,5,3,1,37
13,4,25,7,2,1,71
11,3,18,11,5,1,72
13,5,20,4,4,1,20
10,3,18,13,3,1,98
9,3,18,14,4,2,50
8,3,35,8,3,1,110
9,5,35,8,4,1,69
11,2,12,12,3,1,74
9,1,18,12,3,2,63
12,1,35,7,3,1,51
11,0,10,12,4,1,28
10,5,10,7,3,2,10
13,5,12,3,3,1,8
13,1,10,7,5,1,12
12,3,12,6,3,1,23
14,3,15,10,3,1,79
13,2,35,6,3,2,56
8,1,18,10,3,1,22
12,0,12,8,3,1,32
11,4,12,17,4,1,23
13,1,20,7,3,1,37
10,2,18,15,2,1,152
14,4,15,10,2,3,107
13,2,20,8,5,1,31
14,1,35,15,4,2,77
17,1,30,9,3,1,48
11,4,18,11,3,1,110
8,2,30,12,2,1,180
14,3,18,16,4,2,65
13,1,15,8,4,1,38
10,6,20,5,4,3,22
17,2,12,9,3,1,38
9,3,20,14,4,1,71
12,1,30,7,3,1,79
9,1,18,15,2,1,81
14,1,25,13,3,1,161
11,4,35,5,2,1,108
11,5,12,6,3,1,31
13,3,30,5,3,4,19
15,5,35,4,3,1,74
15,4,12,9,3,1,32
11,3,35,14,3,1,160
12,3,18,7,4,1,57
9,6,15,8,3,3,33
11,2,30,11,4,3,104
16,2,10,8,4,1,27
14,5,25,6,3,1,72
11,1,10,7,4,1,29
8,6,30,7,5,1,56
10,3,12,8,4,4,8
16,2,30,10,3,1,140
13,1,30,6,4,2,40
16,4,18,9,3,1,54
17,3,20,8,4,2,40
10,1,25,13,5,1,66
17,2,15,9,2,1,49
10,1,15,9,4,2,28
9,4,35,14,2,1,180
8,3,15,14,3,1,113
14,2,25,14,3,1,8
12,1,35,6,2,1,100
14,2,35,16,4,1,180
10,1,12,10,4,1,44
8,3,20,10,4,1,36
13,4,10,7,3,2,16
14,1,12,16,3,1,50
17,1,20,7,4,1,25
8,2,20,6,3,1,53
13,5,20,3,3,1,26
11,3,30,15,3,3,136
9,3,12,8,4,1,17
17,5,10,3,4,3,5
17,2,18,11,5,1,41
14,3,20,12,2,1,81
12,5,10,4,4,1,8
14,2,18,14,5,1,109
13,1,25,7,4,1,38
9,3,18,12,4,1,66
12,3,25,7,3,2,37
14,4,15,18,4,1,81
12,1,18,6,2,4,26
10,2,25,15,3,1,140
13,2,20,9,4,1,27
9,3,30,17,3,1,180
14,6,18,7,3,1,50
17,5,35,4,4,1,46
15,1,25,11,4,2,51
10,0,12,11,3,1,34
12,3,25,6,2,1,83
14,2,18,14,4,1,93
14,4,25,14,4,2,121
17,1,10,8,3,1,28
14,4,12,16,2,3,68
11,6,18,5,4,3,26
13,3,30,7,5,3,32
17,5,10,6,3,1,17
14,3,12,13,3,1,68
16,2,35,12,3,1,172
15,1,25,15,3,2,88
10,2,25,16,4,2,89
11,5,15,7,2,1,85
10,4,12,10,4,3,18
11,3,25,13,4,1,110
17,1,15,11,3,1,84
12,4,15,5,3,1,34
16,4,18,7,2,1,77
10,3,25,16,3,2,74
12,1,10,6,4,1,3
13,5,35,4,3,1,66
13,4,10,6,2,2,28
8,2,10,10,3,1,23
12,4,25,6,3,1,65
14,1,20,12,4,1,53
14,2,30,12,3,2,74
14,3,15,16,5,1,32
13,3,25,5,5,3,10
9,2,18,16,4,1,75
15,5,15,7,4,1,25
9,3,35,11,4,1,107
11,5,20,6,3,1,75
9,2,30,12,2,1,180
9,2,25,15,4,1,163
11,4,35,11,3,3,119
15,2,12,11,2,1,40
11,2,20,12,2,3,152
15,2,10,14,3,1,40
16,1,20,13,4,1,40
11,1,35,11,3,3,146
13,2,25,7,3,1,54
9,5,20,12,5,1,81
10,3,25,8,3,2,32
14,5,18,9,3,1,72
15,6,25,8,2,1,73
11,3,35,12,3,1,114
13,4,30,8,4,4,9
14,0,18,17,4,1,118
13,1,30,5,3,1,30
15,5,20,7,4,2,16
15,4,10,16,4,1,14
13,3,12,8,4,1,32
11,5,35,8,3,1,101
9,4,30,20,4,1,180
10,1,12,13,4,2,48
16,5,15,4,3,1,25
8,4,25,9,2,1,155
14,5,30,9,3,1,104
11,1,18,14,4,3,79
16,2,35,7,4,1,44
13,2,25,8,5,1,27
10,1,12,12,3,1,53
16,2,35,11,2,1,180
10,4,30,10,2,4,61
9,1,10,17,5,1,26
12,1,18,6,4,1,29
10,3,15,13,5,3,43
10,1,35,9,4,1,109
14,2,10,18,4,1,78
10,1,30,14,2,1,180
14,2,18,15,3,1,159
11,1,25,11,4,1,56
16,3,12,9,3,1,45
13,6,30,4,5,3,15
12,1,20,9,2,3,92
10,3,15,10,5,3,27
13,2,15,6,2,1,43
10,5,25,7,3,2,25
13,3,18,6,3,1,52
14,3,30,13,5,1,103
11,3,30,12,3,2,123
13,2,10,6,4,1,15
14,1,20,16,4,2,52
9,4,12,20,4,1,70
12,4,18,6,3,1,31
14,2,35,14,3,3,180
13,2,12,5,4,1,21
12,5,20,3,4,2,7
10,4,12,13,3,3,50
10,1,30,9,5,1,31
9,0,18,13,4,1,65
11,3,12,14,3,1,57
13,1,25,7,5,4,14
11,2,15,15,2,1,106
13,3,35,6,3,1,48
11,5,10,8,3,1,22
11,1,18,15,2,1,161
11,2,18,13,2,2,78
12,2,10,9,3,1,21
11,6,35,4,3,1,75
14,1,30,15,4,1,139
9,0,35,6,2,1,81
12,5,35,4,4,2,21
